Timestamp,Gender,Age,Occupation,Monthly Income,Your phone brand,Your phone model, [Purchase Price],Current Telecommunication Service [Current service subscription], [Period of service subscription], [Average telecommunication cost], [No of Text Messages], [No of Calls], [Internet Quota], [Display / Screen Size], [Primary Camera Resolution], [Secondary Camera Resolution], [Battery capacity], [RAM Capacity], [Weight], [Internal Storage ], [Secondary/ Expandable Storage], [Simcard Type], [No of Text  ], [No of  Call ], [Internet Quota  ],Custom price
2017/01/03 5:58:40 PM GMT+8,Female,25 - 34,Working,RM 1001 - RM 2000,Apple,5s,RM 1001 - RM 2000,Prepaid,Monthly,RM 10 - 50,No bundle text/SMS plan (charge for every SMS send),No bundle of call (charge for every minutes call),3-5 GB,6 - 6.5 Inch,9 - 12 MP,13 - 16 MP,3001mAH -  4000mAH (if avarage use for 8H),3 GB,141 gram - 160 gram (Similar to Iphone 6 ),64 GB,Not Required,SIngle,100 - 500 SMS,501 - 1000 minutes,6 GB - 10 GB,50
2017/01/03 6:01:46 PM GMT+8,Male,25 - 34,Studying,RM 1001 - RM 2000,Sony,Ultra T2,RM 1001 - RM 2000,Prepaid,Weekly,RM 10 - 50,No bundle text/SMS plan (charge for every SMS send),No bundle of call (charge for every minutes call),1-2 GB,5  - 5 .5 Inch,6 - 8 MP,9 - 12 MP,2000mAH -  3000mAH (if average 12 H),2 GB,141 gram - 160 gram (Similar to Iphone 6 ),32 GB,64 GB,SIngle,501 - 1000 SMS,501 - 1000 minutes,6 GB - 10 GB,40
2017/01/03 6:23:25 PM GMT+8,Male,25 - 34,Studying,RM 1001 - RM 2000,Samsung,A5,RM 1001 - RM 2000,Prepaid,Monthly,RM 51 - RM 100,No bundle text/SMS plan (charge for every SMS send),No bundle of call (charge for every minutes call),3-5 GB,5  - 5 .5 Inch,9 - 12 MP,13 - 16 MP,2000mAH -  3000mAH (if average 12 H),2 GB,141 gram - 160 gram (Similar to Iphone 6 ),32 GB,64 GB,SIngle,501 - 1000 SMS,501 - 1000 minutes,11 GB - 15 GB,30
2017/01/03 6:24:08 PM GMT+8,Female,25 - 34,Studying,RM 1001 - RM 2000,Samsung,a5,RM 1001 - RM 2000,Postpaid,Monthly,RM 51 - RM 100,No bundle text/SMS plan (charge for every SMS send),No bundle of call (charge for every minutes call),3-5 GB,6 - 6.5 Inch,13 - 16 MP,9 - 12 MP,2000mAH -  3000mAH (if average 12 H),4 GB,120 gram - 140 gram (Similar to Iphone 5),128 GB,Not Required,SIngle,100 - 500 SMS,501 - 1000 minutes,11 GB - 15 GB,50
2017/01/03 6:46:23 PM GMT+8,Male,35 - 44,Working,RM 3001 - RM 4000,Samsung,J7,RM 2001 - RM 3000,Postpaid,Monthly,RM 100 - RM 200,301 - 500,301 - 500 minutes,6-10 GB,6 - 6.5 Inch,6 - 8 MP,9 - 12 MP,2000mAH -  3000mAH (if average 12 H),2 GB,141 gram - 160 gram (Similar to Iphone 6 ),32 GB,Not Required,SIngle,100 - 500 SMS,501 - 1000 minutes,11 GB - 15 GB,70
2017/01/03 6:47:24 PM GMT+8,Female,25 - 34,Working,RM 3001 - RM 4000,Oppo,R1,RM 2001 - RM 3000,Postpaid,Monthly,RM 51 - RM 100,501 - 1000,301 - 500 minutes,3-5 GB,6 - 6.5 Inch,9 - 12 MP,6 - 8 MP,3001mAH -  4000mAH (if avarage use for 8H),2 GB,141 gram - 160 gram (Similar to Iphone 6 ),64 GB,32 GB,SIngle,501 - 1000 SMS,100 - 500 minutes,6 GB - 10 GB,70
2017/01/03 9:02:15 PM GMT+8,Male,25 - 34,Working,RM 3001 - RM 4000,Apple,Iphone,RM 1001 - RM 2000,Prepaid,Weekly,RM 51 - RM 100,100  - 300,100 - 300 minutes,3-5 GB,7 - 7.5 Inch,9 - 12 MP,6 - 8 MP,2000mAH -  3000mAH (if average 12 H),3 GB,141 gram - 160 gram (Similar to Iphone 6 ),64 GB,32 GB,SIngle,100 - 500 SMS,100 - 500 minutes,1 GB- 5 GB,200
